Requirement	Input	Output	Cost	Tests	Syntax	Consistent	Previous	Valid	%	Complete	Wrong	Misses	%
Every photo is posted by one user	190	420	0.00	10	10	10	10	10	100.00	1	119	10	8.40
Users cannot follow themselves	187	680	0.00	10	7	4	4	3	30.00	0			
Users can see ads posted by everyone, but only see non ads posted by followed users	200	2182	0.00	10	2	2	2	2	20.00	0			
If a user posts an ad then all its posts should be labeled as ads	198	1158	0.00	10	0	0	0	0	0.00	0			
Influencers are followed by everyone else	190	691	0.00	10	4	4	4	2	20.00	0			
Influencers post every day	188	1109	0.00	10	6	5	5	5	50.00	0			
Suggested are other users followed by followed users, but not yet followed	196	1324	0.00	10	0	0	0	0	0.00	0			
A user only sees ads from followed or suggested users	193	1094	0.00	10	0	0	0	0	0.00	0			
**Photo sharing social network totals**	**1542**	**8658**	**0.00**	**80**	**29**	**25**	**25**	**22**	**27.5**	**1**	**119**	**10**	**8.40**
Workers are either human or robots	208	550	0.00	10	5	2	2	2	20.00	0			
Every workstation has workers and every worker works in one workstation	213	507	0.00	10	0	0	0	0	0.00	0			
Every component is assembled in one workstation	209	565	0.00	9	0	0	0	0	0.00	0			
Components must have parts and materials have no parts	211	522	0.00	10	8	8	8	5	50.00	0			
Humans and robots cannot work together	208	1014	0.00	10	0	0	0	0	0.00	0			
Components cannot be their own parts	208	670	0.00	10	4	4	4	4	40.00	0			
Components built of dangerous parts are also dangerous	210	846	0.00	10	10	10	10	10	100.00	1	109	2	1.83
Dangerous components cannot be assembled by humans	209	947	0.00	10	5	5	4	4	40.00	0			
The workstations form a single line between begin and end	212	1041	0.00	9	3	3	3	3	33.33	0			
The parts of a component must be assembled before it in the production line	216	1615	0.00	10	0	0	0	0	0.00	0			
**Production line totals**	**2104**	**8277**	**0.00**	**98**	**35**	**32**	**31**	**28**	**28.6**	**1**	**109**	**2**	**1.83**
The station has at least one entry and one exit	181	194	0.00	10	10	10	10	10	100.00	1	132	18	13.64
Signals belong to one track	176	745	0.00	10	10	10	10	10	100.00	1	54	2	3.70
Exit tracks are those without successor	177	801	0.00	10	2	2	1	1	10.00	0			
Entry tracks are those without predecessors	177	907	0.00	10	2	2	1	1	10.00	0			
Junctions are the tracks with more than one predecessor	182	1140	0.00	10	0	0	0	0	0.00	0			
Entry tracks must have a speed signal	178	864	0.00	10	0	0	0	0	0.00	0			
The station has no cycles	176	978	0.00	10	0	0	0	0	0.00	0			
