Requirement	Input	Output	Cost	Tests	Syntax	Consistent	Previous	Valid	%	Complete	Wrong	Misses	%
Every photo is posted by one user	2737	2810	0.00	10	0	0	0	0	0.00	0			
Users cannot follow themselves	2381	2464	0.00	10	10	5	5	5	50.00	0			
Users can see ads posted by everyone, but only see non ads posted by followed users	4603	5322	0.00	10	1	1	1	1	10.00	0			
If a user posts an ad then all its posts should be labeled as ads	198	815	0.00	10	0	0	0	0	0.00	0			
Influencers are followed by everyone else	2353	2337	0.00	10	0	0	0	0	0.00	0			
Influencers post every day	2433	2645	0.00	10	2	2	2	2	20.00	0			
Suggested are other users followed by followed users, but not yet followed	2151	3576	0.00	10	10	10	10	5	50.00	0			
A user only sees ads from followed or suggested users	3764	4406	0.00	10	0	0	0	0	0.00	0			
Photo sharing social network totals	20620	24375	0.01	80	23	18	18	13	16.2	0	0	0	0.00
Workers are either human or robots	967	1234	0.00	10	0	0	0	0	0.00	0			
Every workstation has workers and every worker works in one workstation	1255	1675	0.00	10	0	0	0	0	0.00	0			
Every component is assembled in one workstation	2305	1886	0.00	10	10	10	10	10	100.00	1	28	0	0.00
Components must have parts and materials have no parts	2822	3331	0.00	10	10	5	5	5	50.00	0			
Humans and robots cannot work together	2682	2894	0.00	10	0	0	0	0	0.00	0			
Components cannot be their own parts	1989	1604	0.00	10	1	1	1	1	10.00	0			
Components built of dangerous parts are also dangerous	210	1464	0.00	10	0	0	0	0	0.00	0			
Dangerous components cannot be assembled by humans	3030	3401	0.00	10	3	3	2	2	20.00	0			
The workstations form a single line between begin and end	3423	3822	0.00	10	0	0	0	0	0.00	0			
The parts of a component must be assembled before it in the production line	6616	8352	0.00	10	0	0	0	0	0.00	0			
Production line totals	25299	29663	0.01	100	24	19	18	18	18.0	1	28	0	0.00
The station has at least one entry and one exit	1037	1295	0.00	0	0	0	0	0	0.00	1	132	132	100.00
Signals belong to one track	2297	2253	0.00	10	8	8	7	7	70.00	0			
Exit tracks are those without successor	4570	5646	0.00	10	10	0	0	0	0.00	0			
Entry tracks are those without predecessors	3465	4568	0.00	10	10	5	1	1	10.00	0			
Junctions are the tracks with more than one predecessor	2463	2346	0.00	6	6	6	6	6	100.00	1	163	7	4.29
Entry tracks must have a speed signal	1784	1602	0.00	10	10	10	9	9	90.00	0			
The station has no cycles	1408	1642	0.00	10	10	5	5	5	50.00	0			
It should be possible to reach every exit from every entry	3439	4053	0.00	10	0	0	0	0	0.00	0			
Tracks not followed by junctions do not have semaphores	3241	4102	0.00	0	0	0	0	0	0.00	1	203	203	100.00
Every track before a junction has a semaphore	2911	3264	0.00	10	0	0	0	0	0.00	0			
Train station totals	26615	30771	0.01	76	54	34	28	28	36.8	3	498	342	68.10
Only students can be enrolled in courses	1765	1455	0.00	10	10	10	10	5	50.00	0			
Only professors can teach courses	2114	1970	0.00	10	4	4	4	2	20.00	0			
Courses must have teachers	2300	2265	0.00	10	0	0	0	0	0.00	0			
Projects are proposed by one course	2670	2819	0.00	10	5	5	5	5	50.00	0			
Only students work on projects and projects must have someone working on them	2534	2359	0.00	10	0	0	0	0	0.00	0			
Students only work on projects of courses they are enrolled in	3370	3781	0.00	0	0	0	0	0	0.00	1	168	168	100.00
Students work on at most one project per course	3338	3755	0.00	0	0	0	0	0	0.00	1	177	177	100.00
A professor cannot teach herself	1247	1348	0.00	10	10	5	5	5	50.00	0			
A professor cannot teach colleagues	2111	1935	0.00	10	9	9	9	5	50.00	0			
Only students have grades	2464	2490	0.00	10	0	0	0	0	0.00	0			
Students only have grades in courses they are enrolled	4101	5130	0.00	10	1	1	1	1	10.00	0			
Students have at most one grade per course	2783	3466	0.00	10	0	0	0	0	0.00	0			
A student with the highest mark in a course must have worked on a project on that course	3558	4155	0.00	10	0	0	0	0	0.00	0			
A student cannot work with the same student in different projects	3249	3725	0.00	10	0	0	0	0	0.00	0			
Students working on the same project in a course cannot have marks differing by more than one unit	6268	7361	0.00	10	0	0	0	0	0.00	0			
Courses totals	43872	48014	0.02	130	39	34	34	23	17.7	2	345	345	100.00
Totals	116406	132823	0.05	386	140	105	98	82	21.24	6	871	687	67.38
